image,n_span,n_nonspan,mean_iou_span,mean_iou_nonspan,gap
PMC5747446_table_2,4,119,0.9037046581506729,0.020216711041587992,-0.883487947109085
PMC5752228_table_1,2,19,0.8784843683242798,0.14267365791295705,-0.7358107104113227
PMC5753645_table_0,17,142,0.5875189909163643,0.10389458694705136,-0.48362440396931294
PMC5758794_table_1,4,74,0.9260177612304688,0.053660917574086704,-0.872356843656382
PMC5758794_table_2,8,126,0.8123279735445976,0.04090789258332243,-0.7714200809612752
PMC5768874_table_3,7,49,0.8056160722460065,0.05580290511478575,-0.7498131671312207
PMC5784668_table_0,2,48,0.942845344543457,0.05548916700839376,-0.8873561775350632
PMC5795659_table_0,3,48,0.9112151066462199,0.08045721201536556,-0.8307578946308543
PMC5822665_table_4,3,41,0.9464730620384216,0.051169355649773665,-0.895303706388648
PMC5842527_table_7,5,30,0.4194784313440323,0.07323385930309693,-0.34624457204093534
PMC5849198_table_2,7,106,0.9601721593311855,0.03631732545195604,-0.9238548338792294
PMC5863360_table_2,3,219,0.8944610953330994,0.018328159422396798,-0.8761329359107025
PMC5871766_table_1,4,77,0.9121051579713821,0.07112377806107043,-0.8409813799103117
PMC5875840_table_1,1,34,0.9490672945976257,0.08352514224893906,-0.8655421523486867
PMC5911635_table_0,2,36,0.9469835758209229,0.0956866503175762,-0.8512969255033467
PMC5914047_table_0,3,96,0.8773238261540731,0.18658346704186593,-0.6907403591122072
PMC5918169_table_0,18,50,0.6690653777784772,0.143561379192397,-0.5255039985860802
PMC5919007_table_0,4,120,0.907513216137886,0.07219994816744778,-0.8353132679704383
PMC5931632_table_0,11,40,0.8537846478548917,0.05791391925886273,-0.795870728596029
PMC5944059_table_1,1,84,0.9504436254501343,0.09915313229984826,-0.851290493150286
PMC5945226_table_0,2,88,0.0,0.09716766556216912,0.09716766556216912
PMC5959891_table_0,5,250,0.9380569577217102,0.017080102100968362,-0.9209768556207418
PMC5978986_table_3,5,45,0.9260042071342468,0.06366583911908998,-0.8623383680151568
PMC5992147_table_1,5,42,0.5980725795030594,0.13217374531640894,-0.46589883418665046
PMC5993845_table_0,5,67,0.8813437700271607,0.05877380940451551,-0.8225699606226452
PMC5995224_table_0,29,115,0.683541483920196,0.03501665810042101,-0.648524825819775
PMC5998874_table_2,3,99,0.8952770233154297,0.02211779175382672,-0.873159231561603
PMC6006697_table_0,3,28,0.6132459243138632,0.0987790994612234,-0.5144668248526397
PMC6022731_table_2,3,216,0.9378863970438639,0.024376745212874893,-0.913509651830989
PMC6080384_table_1,11,74,0.7803698615594343,0.04346301913815173,-0.7369068424212826
PMC6084955_table_1,2,67,0.8736181557178497,0.07261035563563233,-0.8010078000822174
PMC6097016_table_2,7,122,0.924825234072549,0.0375424685094078,-0.8872827655631412
PMC6097158_table_0,3,18,0.013004814585049948,0.07630297712360819,0.06329816253855824
