image,has_span,n_gt_rows,n_gt_cols,n_gt_spans,row_mean_iou,row_recall,row_precision,row_f1,col_mean_iou,col_recall,col_precision,col_f1,span_mean_iou,span_recall,span_precision,span_f1,cell_mean_iou,cell_recall,cell_precision,cell_f1,span_cell_mean_iou,span_cell_recall,span_cell_f1,nonspan_cell_mean_iou,nonspan_cell_recall,nonspan_cell_f1,n_gt_cells,n_pred_cells
PMC3241715_table_0,False,5,2,0,0.9774218082427979,1.0,1.0,1.0,0.9850472509860992,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9744832158088684,1.0,1.0,1.0,0.0,0.0,0.0,0.9744832158088684,1.0,1.0,10,10
PMC3247416_table_2,False,7,5,0,0.8526723299707685,1.0,0.875,0.9333333333333333,0.8835657835006714,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8403832912445068,1.0,0.875,0.9333333333333333,0.0,0.0,0.0,0.8403832912445068,1.0,0.9333333333333333,35,40
PMC3248559_table_0,True,6,9,2,0.9617879092693329,1.0,1.0,1.0,0.9344383875528971,1.0,1.0,1.0,0.9272002875804901,1.0,1.0,1.0,0.9144908047240713,1.0,1.0,1.0,0.9272002875804901,1.0,1.0,0.9139131009578705,1.0,1.0,46,46
PMC3254506_table_2,False,9,2,0,0.9243921571307712,1.0,1.0,1.0,0.986698567867279,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9249992205037011,1.0,1.0,1.0,0.0,0.0,0.0,0.9249992205037011,1.0,1.0,18,18
PMC3262863_table_4,True,18,9,7,0.8692207568221622,1.0,1.0,1.0,0.8905108041233487,1.0,1.0,1.0,0.844608587878091,0.8571428571428571,0.75,0.7999999999999999,0.7753040789551026,0.9932432432432432,0.9865771812080537,0.9898989898989898,0.859917972769056,1.0,1.0,0.7711033891912893,0.9929078014184397,0.9929078014184397,148,149
PMC3274267_table_0,False,5,2,0,0.967316210269928,1.0,1.0,1.0,0.9761009514331818,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9651643991470337,1.0,1.0,1.0,0.0,0.0,0.0,0.9651643991470337,1.0,1.0,10,10
PMC3275014_table_1,False,6,2,0,0.9785337348779043,1.0,1.0,1.0,0.9900271892547607,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9776986291011175,1.0,1.0,1.0,0.0,0.0,0.0,0.9776986291011175,1.0,1.0,12,12
PMC3281830_table_2,True,12,22,1,0.9228758116563162,1.0,1.0,1.0,0.7900534597310153,0.9545454545454546,0.84,0.8936170212765958,0.33558389544487,0.0,0.0,0.0,0.7040166897352204,0.8935361216730038,0.8159722222222222,0.852994555353902,0.4505451023578644,0.0,0.0,0.7049841385420043,0.8969465648854962,0.8576642335766423,263,288
PMC3292942_table_0,True,23,5,4,0.8499317687490712,1.0,1.0,1.0,0.9670759081840515,1.0,1.0,1.0,0.6532655172049999,0.75,0.75,0.75,0.8289769773089558,0.9908256880733946,0.9818181818181818,0.9863013698630138,0.6897721290588379,0.75,0.75,0.8342800191470555,1.0,1.0,109,110
PMC3307764_table_2,True,11,4,2,0.9458245255730369,1.0,1.0,1.0,0.9711618274450302,1.0,1.0,1.0,0.9419925212860107,1.0,1.0,1.0,0.9359479575622373,1.0,1.0,1.0,0.9419925212860107,1.0,1.0,0.9356379799353771,1.0,1.0,41,41
PMC3308190_table_6,True,9,6,2,0.9143063028653463,1.0,1.0,1.0,0.9502350091934204,1.0,1.0,1.0,0.881502777338028,1.0,1.0,1.0,0.8929764008035466,1.0,1.0,1.0,0.881502777338028,1.0,1.0,0.8934646400999515,1.0,1.0,49,49
